identifier,smiles,bus
ECAMIG,CC1(C)CC(N)CC(C)(CN)C1,[0]
ECAVEK,NCCN,[]
ECAVIO,NCCCN,[]
ECEGAU,NCCN,[1]
ECIYEU,CNC,[1]
ECIZAS,c1cc(-c2ccncc2)ccn1,[1]
ECIZEW,c1cc(-c2ccncc2)ccn1,[1]
ECIZIA,c1cc(-c2ccncc2)ccn1,[1]
ECODOQ,NCCNCCN,[0]
ECOFAE,NCCN,[0]
ECOLOX,CCNCC,[1]
ECONIU,CN(C)CCN,[1]
ECULOF,CN(C)c1ccncc1,[4]
ECULUL,CN(C)c1ccncc1,[4]
ECUZOS,c1cc(-c2ccncc2)ccn1,[]
EDEPOS,NCCCN,[1]
EDIKEH,CC(N)CN,[4]
EDIKIL,CC1=NCCCN1,[4]
EDOVOJ,CC(N)c1ccccc1,[1]
EDOYOL,NCCCN,[1]
EDOYUR,c1c[nH]cn1,"[12, 1]"
EDUKIZ,NCCCCN,[]
EDUQIE,NCCN,[]
EFAHAX,CN(C)CCN(C)C,[]
EFILUA,CN1CCNCC1,[1]
